Unnamed: 0,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T,ismisc
70,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.352899377,0.178871561,300,1
71,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.216344663,0.591244594,300,1
72,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.248712055,0.05258956,300,1
73,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.356974679,0.555666373,300,1
74,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.427453995,0.246000058,300,1
75,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.114019233,0.522298305,300,1
76,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.211682845,0.571056738,300,1
77,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.384282097,0.267525072,300,1
78,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.576274372,0.132280538,300,1
79,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.229088288,0.437068333,300,1
80,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.524929854,0.236072925,300,1
81,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.260446059,0.342165244,300,1
82,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.580571578,0.16723891,300,1
83,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.060594783,0.476159857,300,1
84,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.106037483,0.307390741,300,1
85,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.558461589,0.386450626,300,1
86,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.491593852,0.088495847,300,1
87,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.216785847,0.569824607,300,1
88,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.244806253,0.277517834,300,1
89,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.424707327,0.422127684,300,1
90,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.447333652,0.127170697,300,1
91,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.214443852,0.745184807,300,1
92,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.003668384,0.092126693,300,1
93,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.37666853,0.344854375,300,1
94,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.459677239,0.363141742,300,1
95,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.230090896,0.276843117,300,1
96,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.403277528,0.016936612,300,1
97,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.278541771,0.488766926,300,1
98,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.411185382,0.188122536,300,1
99,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.044898933,0.761229614,300,1
100,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.246540611,0.388154352,300,1
101,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.375826677,0.336268193,300,1
102,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.714491661,0.192019606,300,1
103,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.154583702,0.432618586,300,1
104,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.411608522,0.560273639,300,1
105,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.331471576,0.278062675,300,1
106,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.694155231,0.072728955,300,1
107,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.109797152,0.586875134,300,1
108,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.062536246,0.119302549,300,1
109,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.45807222,0.413894258,300,1
110,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.355733411,0.181961868,300,1
111,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.268699566,0.433367745,300,1
112,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.290699736,0.185429226,300,1
113,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.451748493,0.507921115,300,1
114,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.563856888,0.106995863,300,1
115,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.090708462,0.675186655,300,1
116,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.337703577,0.218597573,300,1
117,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.295717984,0.345101185,300,1
118,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.40955064,0.286935959,300,1
119,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.198946344,0.379430888,300,1
120,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.300575257,0.268428267,300,1
121,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.313283809,0.376590493,300,1
122,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.607513289,0.261345252,300,1
123,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.110229845,0.402885062,300,1
124,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.058453623,0.369650074,300,1
125,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.515558441,0.291118786,300,1
126,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.382244073,0.031598564,300,1
127,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.330708891,0.616409913,300,1
128,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.355032675,0.225874946,300,1
129,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.358111613,0.410759982,300,1
130,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.487036796,0.077823828,300,1
131,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.062689689,0.850137538,300,1
132,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.302279016,0.110418389,300,1
133,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.316890741,0.410999964,300,1
134,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.516733529,0.351000607,300,1
135,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.158428958,0.330553503,300,1
136,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.441336932,0.286078479,300,1
137,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.261077565,0.343388453,300,1
138,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.484656729,0.22317697,300,1
139,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.095313392,0.446475252,300,1
140,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.084375099,0.326387536,300,1
141,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.618739652,0.35354338,300,1
142,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.516117615,0.002913573,300,1
143,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.26655796,0.570016949,300,1
144,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.286842798,0.043410727,300,1
145,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.339449727,0.527956738,300,1
146,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.441226319,0.195947426,300,1
147,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.069997281,0.498616954,300,1
148,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.362755796,0.627426078,300,1
149,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.355259373,0.310974865,300,1
150,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.553858124,0.189014675,300,1
151,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.205191287,0.491507888,300,1
152,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.282847032,0.426836968,300,1
153,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.373930625,0.312324686,300,1
154,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.771696609,0.111367832,300,1
155,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.116359067,0.468136842,300,1
156,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.029993097,0.19441532,300,1
157,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.443053396,0.364661061,300,1
158,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.304463129,0.152775825,300,1
159,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.348775687,0.534028954,300,1
160,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.429536076,0.119259914,300,1
161,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.255895455,0.399738074,300,1
162,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.658501175,0.199710915,300,1
163,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.00246463,0.394937088,300,1
164,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.186614572,0.392417247,300,1
